Skin;Bodytype;Hairstyle;Haircolor;Eyes;Clothes;Poses;Locate;Expression;Light Source;Lighting Type;ShotSize;Composition;FocalLength;Camera Angle;LensType;Color;Accessories;Extra1;Extra2;Extra3
;;;;;fundoshi;standing in a flowing outfit;at the Brandenburg Gate;;;;;;;;;;;;;
;;;;;fur trim;lips slightly parted, a soft sigh;at the Berlin Wall Memorial;;;;;;;;;;;;;
;;;;;furisode;playing with a ring;at the Kremlin;;;;;;;;;;;;;
;;;;;gakuran;sitting on floor, looking at viewer over shoulder;at St. Basil's Cathedral;;;;;;;;;;;;;
;;;;;gambeson;striking a dramatic pose;at the Sagrada Familia;;;;;;;;;;;;;
;;;;;garter;wet clothes shimmering;at the Sydney Opera House;;;;;;;;;;;;;
;;;;;gathers;glittering body, soft glow;at the Golden Gate Bridge;;;;;;;;;;;;;
;;;;;geta;licking lower lip slowly;at Mount Rushmore;;;;;;;;;;;;;
;;;;;ghost costume;slowly zipping up a jacket;at Niagara Falls;;;;;;;;;;;;;
;;;;;gloves;looking away, a deep gaze;at the Grand Canyon;;;;;;;;;;;;;
;;;;;gold trim;hand resting on hip;at the Forbidden City;;;;;;;;;;;;;
;;;;;gown;back slightly curved, looking down;at the Shibuya Crossing;;;;;;;;;;;;;
;;;;;gym shorts;kneeling, eyes closed softly;at the Tokyo Skytree;;;;;;;;;;;;;
;;;;;gym uniform;wet skin glistening in the light;at the Ghibli Museum;;;;;;;;;;;;;
;;;;;habit;;at the PokemonCenter;;;;;;;;;;;;;
;;;;;habit uniform;;at the Universal Studios Japan;;;;;;;;;;;;;
;;;;;haik;;at the Disneyland Park;;;;;;;;;;;;;
;;;;;hakama;;at the Walt Disney World Resort;;;;;;;;;;;;;
;;;;;hakama pants;;at the Hollywood Walk of Fame;;;;;;;;;;;;;
;;;;;hakama short skirt;;at the Times Square;;;;;;;;;;;;;
;;;;;hakama skirt;;at the Las Vegas Strip;;;;;;;;;;;;;
;;;;;halter top;;at the Bourbon Street in New Orleans;;;;;;;;;;;;;
;;;;;hanbok;;at the Venice canals;;;;;;;;;;;;;
;;;;;hanfu;;at the Louvre Museum;;;;;;;;;;;;;
;;;;;hanten;;at the Vatican City;;;;;;;;;;;;;
;;;;;haori;;at the Sistine Chapel;;;;;;;;;;;;;
;;;;;happi;;at the Duomo in Florence;;;;;;;;;;;;;
;;;;;harem outfit;;at the Eiffel Tower ;;;;;;;;;;;;;
;;;;;hauberk;;at the Arc de Triomphe;;;;;;;;;;;;;
;;;;;hawaiian shirt;;at Notre-Dame Cathedral;;;;;;;;;;;;;
;;;;;high-low skirt;;at Mont Saint-Michel;;;;;;;;;;;;;
;;;;;high-waist skirt;;in Hogwarts ;;;;;;;;;;;;;
;;;;;hoodie;;in Rivendell ;;;;;;;;;;;;;
;;;;;hoop skirt;;in Mordor ;;;;;;;;;;;;;
;;;;;hose;;in Gondor ;;;;;;;;;;;;;
;;;;;housecoat;;in the Shire ;;;;;;;;;;;;;
;;;;;jacket;;in Narnia ;;;;;;;;;;;;;
;;;;;jammers;;in Westeros ;;;;;;;;;;;;;
;;;;;japanese clothes;;in King's Landing ;;;;;;;;;;;;;
;;;;;jeans;;in Winterfell ;;;;;;;;;;;;;
;;;;;jerkin;;in The Matrix ;;;;;;;;;;;;;
;;;;;jodhpurs;;on Pandora ;;;;;;;;;;;;;
;;;;;jubbah;;on Tatooine ;;;;;;;;;;;;;
;;;;;jumper;;on the Death Star ;;;;;;;;;;;;;
;;;;;jumpsuit;;in the Millennium Falcon ;;;;;;;;;;;;;
;;;;;jupon;;in the Enterprise ;;;;;;;;;;;;;
;;;;;kameez;;on the Planet Namek ;;;;;;;;;;;;;
;;;;;kanzu;;in Capsule Corp. ;;;;;;;;;;;;;
;;;;;kaross;;in the Hidden Leaf Village ;;;;;;;;;;;;;
;;;;;kasaya;;in Konoha ;;;;;;;;;;;;;
;;;;;kesa;;in Marineford ;;;;;;;;;;;;;
;;;;;kilt;;in Dressrosa ;;;;;;;;;;;;;
;;;;;kimono;;in the Soul Society ;;;;;;;;;;;;;
;;;;;kimono skirt;;in Karakura Town ;;;;;;;;;;;;;
;;;;;kittel;;in Wall Maria ;;;;;;;;;;;;;
;;;;;korean clothes;;in Shiganshina District ;;;;;;;;;;;;;
;;;;;lab coat;;in the Scouts' HQ ;;;;;;;;;;;;;
;;;;;lace trim;;in Tokyo-3 ;;;;;;;;;;;;;
;;;;;layered kimono;;in the Geofront ;;;;;;;;;;;;;
;;;;;leaf bikini;;in Neo-Tokyo ;;;;;;;;;;;;;
;;;;;leather jacket;;in Midgar ;;;;;;;;;;;;;
;;;;;lederhosen;;in Nibelheim ;;;;;;;;;;;;;
;;;;;leggings;;in the Shinra Electric Power Company HQ ;;;;;;;;;;;;;
;;;;;legskin;;in Raccoon City ;;;;;;;;;;;;;
;;;;;leotard;;in the Umbrella Corporation Lab ;;;;;;;;;;;;;
;;;;;letter jacket;;in Silent Hill ;;;;;;;;;;;;;
;;;;;loincloth;;in the Baker House ;;;;;;;;;;;;;
;;;;;long coat;;in Hyrule Castle ;;;;;;;;;;;;;
;;;;;long skirt;;in Hyrule Field ;;;;;;;;;;;;;
;;;;;longpao;;in Gerudo Desert ;;;;;;;;;;;;;
;;;;;lowleg bikini;;in Death Mountain ;;;;;;;;;;;;;
;;;;;lowleg shorts;;in Bowser's Castle ;;;;;;;;;;;;;
;;;;;lowleg skirt;;in Peach's Castle ;;;;;;;;;;;;;
;;;;;maid uniform;;in the Mushroom Kingdom ;;;;;;;;;;;;;
;;;;;maillot;;in Kanto Region ;;;;;;;;;;;;;
;;;;;mandarin collar shirt;;in Johto Region ;;;;;;;;;;;;;
;;;;;manteau;;in the PokemonLeague ;;;;;;;;;;;;;
;;;;;mantle;;in the Distortion World ;;;;;;;;;;;;;
;;;;;meiji schoolgirl uniform;;in the PokemonGym;;;;;;;;;;;;;
;;;;;micro bikini;;in the Grand Theft Auto V Los Santos;;;;;;;;;;;;;
;;;;;micro shorts;;in Grand Theft Auto V Blaine County;;;;;;;;;;;;;
;;;;;microskirt;;in Night City ;;;;;;;;;;;;;
;;;;;midriff sarashi;;in Watson District ;;;;;;;;;;;;;
;;;;;miko;;in The Afterlife bar ;;;;;;;;;;;;;
;;;;;miko uniform;;in the Commonwealth ;;;;;;;;;;;;;
;;;;;military uniform;;in the Glowing Sea ;;;;;;;;;;;;;
;;;;;miniskirt;;in Sanctuary Hills ;;;;;;;;;;;;;
;;;;;mino boushi;;in the Citadel ;;;;;;;;;;;;;
;;;;;muslin;;in Omega ;;;;;;;;;;;;;
;;;;;naked;;on the Normandy SR-2 ;;;;;;;;;;;;;
;;;;;navy uniform;;in Black Mesa Research Facility ;;;;;;;;;;;;;
;;;;;negligee;;in City 17 ;;;;;;;;;;;;;
;;;;;nehru jacket;;in Aperture Science ;;;;;;;;;;;;;
;;;;;night gown;;in the Overwatch Watchpoint: Gibraltar;;;;;;;;;;;;;
;;;;;nightdress;;in the Overwatch Eichenwalde;;;;;;;;;;;;;
;;;;;nightshirt;;in the Overwatch Hanamura;;;;;;;;;;;;;
;;;;;nontraditional miko;;in the Overwatch King's Row;;;;;;;;;;;;;
;;;;;open robe;;in the World of Warcraft Stormwind;;;;;;;;;;;;;
;;;;;overall skirt;;in the World of Warcraft Orgrimmar;;;;;;;;;;;;;
;;;;;overalls;;in the World of Warcraft Northrend;;;;;;;;;;;;;
;;;;;overcoat;;in the Minecraft Overworld;;;;;;;;;;;;;
;;;;;overskirt;;in the Minecraft Nether;;;;;;;;;;;;;
;;;;;pajamas;;in the Minecraft End;;;;;;;;;;;;;
;;;;;palazzo pants;;in the Sims 4 Oasis Springs;;;;;;;;;;;;;
;;;;;paletot;;in the Sims 4 Willow Creek;;;;;;;;;;;;;
;;;;;pallium;;in the Sims 4 Windenburg;;;;;;;;;;;;;
;;;;;pant suit;;in the Stardew Valley Pelican Town;;;;;;;;;;;;;
;;;;;panties;;in the Stardew Valley Mines;;;;;;;;;;;;;
;;;;;parachute pants;;in the Stardew Valley Farm;;;;;;;;;;;;;
;;;;;parka;;in the Animal Crossing New Horizons Island;;;;;;;;;;;;;
;;;;;pelvic curtain;;on a deserted island ;;;;;;;;;;;;;
;;;;;pilot suit;;in the Dragon Age Thedas;;;;;;;;;;;;;
;;;;;pinafore;;in The Witcher Novigrad;;;;;;;;;;;;;
;;;;;plaid;;in The Witcher Velen;;;;;;;;;;;;;
;;;;;plaid skirt;;in The Witcher Kaer Morhen;;;;;;;;;;;;;
;;;;;playboy bunny;;in Skyrim Whiterun;;;;;;;;;;;;;
;;;;;pleated skirt;;in Skyrim Solitude;;;;;;;;;;;;;
;;;;;plugsuit;;in Skyrim Bleak Falls Barrow;;;;;;;;;;;;;
;;;;;polo;;in the Assassin's Creed Animus;;;;;;;;;;;;;
;;;;;poncho;;in Renaissance Florence ;;;;;;;;;;;;;
;;;;;prom dress;;in Victorian London ;;;;;;;;;;;;;
;;;;;pullover;;in Ancient Egypt ;;;;;;;;;;;;;
;;;;;racing suit;;in Baghdad ;;;;;;;;;;;;;
;;;;;rash guard;;in the BioShock Rapture;;;;;;;;;;;;;
;;;;;ribbon trim;;in the BioShock Columbia;;;;;;;;;;;;;
;;;;;robe;;in a vintage diner;;;;;;;;;;;;;
;;;;;romper;;in a classic car showroom;;;;;;;;;;;;;
;;;;;rompers;;in a retro arcade;;;;;;;;;;;;;
;;;;;sailor dress;;in an old movie theatre;;;;;;;;;;;;;
;;;;;sarashi;;in a speakeasy bar;;;;;;;;;;;;;
;;;;;sari;;in a steampunk laboratory;;;;;;;;;;;;;
;;;;;sari sarong;;in a dystopian city;;;;;;;;;;;;;
;;;;;sarong;;in a utopian community;;;;;;;;;;;;;
;;;;;sash;;in a post-apocalyptic wasteland;;;;;;;;;;;;;
;;;;;scarf;;in a futuristic city park;;;;;;;;;;;;;
;;;;;school swimsuit;;in an underwater research facility;;;;;;;;;;;;;
;;;;;school uniform;;in a floating city;;;;;;;;;;;;;
;;;;;scrubs;;in a time-traveling machine;;;;;;;;;;;;;
;;;;;see-through;;in a parallel universe's version of Earth;;;;;;;;;;;;;
;;;;;serafuku;;in a digital realm;;;;;;;;;;;;;
;;;;;serape;;in a virtual reality simulation;;;;;;;;;;;;;
;;;;;shalwar kameez;;in a dreamscape;;;;;;;;;;;;;
;;;;;shawl;;in a consciousness projection;;;;;;;;;;;;;
;;;;;sherwani;;in a pocket dimension;;;;;;;;;;;;;
;;;;;short jumpsuit;;in a celestial observatory;;;;;;;;;;;;;
;;;;;short kimono;;on a comet's surface;;;;;;;;;;;;;
;;;;;short shorts;;inside a nebula;;;;;;;;;;;;;
;;;;;shorts;;on a spaceship bridge;;;;;;;;;;;;;
;;;;;shorts under skirt;;in an alien marketplace;;;;;;;;;;;;;
;;;;;shosei;;in a fantasy tavern;;;;;;;;;;;;;
;;;;;side-tie bikini bottom;;in a bustling fantasy city;;;;;;;;;;;;;
;;;;;silver trim;;in an elven forest;;;;;;;;;;;;;
;;;;;skating dress;;in a dwarven mine;;;;;;;;;;;;;
;;;;;ski suit;;in an orc stronghold;;;;;;;;;;;;;
;;;;;skirt;;in a goblin cave;;;;;;;;;;;;;
;;;;;skirt suit;;in a a vampire's lair;;;;;;;;;;;;;
;;;;;slacks;;in a werewolf's den;;;;;;;;;;;;;
;;;;;slingshot swimsuit;;in a zombie-infested street;;;;;;;;;;;;;
;;;;;smock;;in a ghost town;;;;;;;;;;;;;
;;;;;socks;;on a pirate ship's deck;;;;;;;;;;;;;
;;;;;spandex;;in a sunken treasure ship;;;;;;;;;;;;;
;;;;;sports bikini;;in a forgotten temple;;;;;;;;;;;;;
;;;;;sports bra;;in a cursed tomb;;;;;;;;;;;;;
;;;;;stockings;;in a mythical realm;;;;;;;;;;;;;
;;;;;strapless leotard;;in a sacred grove;;;;;;;;;;;;;
;;;;;straw cape ;;at the gates of heaven;;;;;;;;;;;;;
;;;;;string bikini;;at the gates of hell;;;;;;;;;;;;;
;;;;;suit;;in limbo;;;;;;;;;;;;;
;;;;;sundress;;in purgatory;;;;;;;;;;;;;
;;;;;surcoat;;in paradise;;;;;;;;;;;;;
;;;;;suspender skirt;;in the underworld;;;;;;;;;;;;;
;;;;;suspenders;;in Mount Olympus;;;;;;;;;;;;;
;;;;;sweater;;in Asgard;;;;;;;;;;;;;
;;;;;swim briefs ;;in Valhalla;;;;;;;;;;;;;
;;;;;swimming trunks;;in Tartarus;;;;;;;;;;;;;
;;;;;swimsuit;;in the Elysian Fields;;;;;;;;;;;;;
;;;;;t-shirt;;on a giant mushroom;;;;;;;;;;;;;
;;;;;tabi;;inside a hollow tree;;;;;;;;;;;;;
;;;;;tallit;;on a floating island;;;;;;;;;;;;;
;;;;;tanga;;at the edge of the world;;;;;;;;;;;;;
;;;;;tangzhuang;;in a land of perpetual twilight;;;;;;;;;;;;;
;;;;;tankini;;in a dimension of pure light;;;;;;;;;;;;;
;;;;;tasuki;;in a dimension of pure shadow;;;;;;;;;;;;;
;;;;;taut shirt;;in a realm of living crystals;;;;;;;;;;;;;
;;;;;thobe;;in a world of sentient plants;;;;;;;;;;;;;
;;;;;thong;;in a city built on clouds;;;;;;;;;;;;;
;;;;;thong bikini;;in a city carved into a mountain;;;;;;;;;;;;;
;;;;;tie;;in an underground city;;;;;;;;;;;;;
;;;;;tights;;in a city submerged underwater;;;;;;;;;;;;;
;;;;;toga;;in a city powered by magic;;;;;;;;;;;;;
;;;;;top hat;;in a city powered by steam;;;;;;;;;;;;;
;;;;;torn clothes;;in a city powered by solar energy;;;;;;;;;;;;;
;;;;;tracksuit;;in a city powered by wind energy;;;;;;;;;;;;;
;;;;;trench coat;;in a city powered by geothermal energy;;;;;;;;;;;;;
;;;;;tube top;;in a city powered by nuclear energy;;;;;;;;;;;;;
;;;;;tunic;;in a city powered by dark energy;;;;;;;;;;;;;
;;;;;turtleneck;;in a city powered by a black hole;;;;;;;;;;;;;
;;;;;tutu;;in a city powered by human dreams;;;;;;;;;;;;;
;;;;;tuxedo;;in a city powered by forgotten memories;;;;;;;;;;;;;
;;;;;twinset;;in a city powered by pure imagination;;;;;;;;;;;;;
;;;;;uchikake ;;in a city made of glass;;;;;;;;;;;;;
;;;;;undone sarashi;;in a city made of steel;;;;;;;;;;;;;
;;;;;unitard;;in a city made of wood;;;;;;;;;;;;;
;;;;;venus bikini;;in a city made of ice;;;;;;;;;;;;;
;;;;;vietnamese dress;;in a city made of sand;;;;;;;;;;;;;
;;;;;wedding dress;;in a city made of stone;;;;;;;;;;;;;
;;;;;wet suit;;in a city made of living tissue;;;;;;;;;;;;;
;;;;;yamakasa;;in a city made of light;;;;;;;;;;;;;
;;;;;yoga pants;;in a city made of sound;;;;;;;;;;;;;
;;;;;yukata;;in a city made of silence;;;;;;;;;;;;;
;;;;;;;in a city that never sleeps;;;;;;;;;;;;;
;;;;;;;inside a maze garden;;;;;;;;;;;;;
;;;;;;;in a bathtub;;;;;;;;;;;;;
;;;;;;;near a giant tree;;;;;;;;;;;;;
;;;;;;;beneath a glowing cave;;;;;;;;;;;;;
;;;;;;;on a misty valley;;;;;;;;;;;;;
;;;;;;;on a high-tech arena;;;;;;;;;;;;;
;;;;;;;in a music store;;;;;;;;;;;;;
;;;;;;;outside a ruined castle;;;;;;;;;;;;;
;;;;;;;within a crystal palace;;;;;;;;;;;;;
;;;;;;;in her living room;;;;;;;;;;;;;
;;;;;;;inside a dojo on a mountain;;;;;;;;;;;;;
;;;;;;;in the Ironforge throne room;;;;;;;;;;;;;
;;;;;;;in a street market;;;;;;;;;;;;;
;;;;;;;in her walk-in closet;;;;;;;;;;;;;
;;;;;;;on the Great Wall of China;;;;;;;;;;;;;
;;;;;;;inside a gothic cathedral;;;;;;;;;;;;;
;;;;;;;in her bed;;;;;;;;;;;;;
;;;;;;;at Machu Picchu;;;;;;;;;;;;;
;;;;;;;on a ghost town;;;;;;;;;;;;;
;;;;;;;at a pirate ship;;;;;;;;;;;;;
;;;;;;;inside a glowing cave;;;;;;;;;;;;;
;;;;;;;beneath a bunker;;;;;;;;;;;;;
;;;;;;;at a ruined castle;;;;;;;;;;;;;
;;;;;;;at a crystal palace;;;;;;;;;;;;;
;;;;;;;in a toxic swamp;;;;;;;;;;;;;
;;;;;;;beneath a giant tree;;;;;;;;;;;;;
;;;;;;;at a misty valley;;;;;;;;;;;;;
;;;;;;;within a pirate ship;;;;;;;;;;;;;
;;;;;;;at a hair salon;;;;;;;;;;;;;
;;;;;;;inside a science lab;;;;;;;;;;;;;
;;;;;;;on a graveyard;;;;;;;;;;;;;
;;;;;;;inside a ghost town;;;;;;;;;;;;;
;;;;;;;in a bookstore;;;;;;;;;;;;;
;;;;;;;on a glowing cave;;;;;;;;;;;;;
;;;;;;;in the bathhouse from Spirited Away;;;;;;;;;;;;;
;;;;;;;at the Louvre Museum;;;;;;;;;;;;;
;;;;;;;within a battlefield;;;;;;;;;;;;;
;;;;;;;in a mirror reflection;;;;;;;;;;;;;
;;;;;;;outside a bunker;;;;;;;;;;;;;
;;;;;;;within a glowing cave;;;;;;;;;;;;;
;;;;;;;in a nightclub on Mars;;;;;;;;;;;;;
;;;;;;;inside a giant tree;;;;;;;;;;;;;
;;;;;;;beneath a ruined castle;;;;;;;;;;;;;
;;;;;;;in her garden;;;;;;;;;;;;;
;;;;;;;in a dense forest;;;;;;;;;;;;;
;;;;;;;on a ruined castle;;;;;;;;;;;;;
;;;;;;;at a luxury yacht;;;;;;;;;;;;;
;;;;;;;outside a nightclub on Mars;;;;;;;;;;;;;
;;;;;;;in the Spirit World;;;;;;;;;;;;;
;;;;;;;in a crystal palace;;;;;;;;;;;;;
;;;;;;;outside a glowing cave;;;;;;;;;;;;;
;;;;;;;doing yoga in her living room;;;;;;;;;;;;;
;;;;;;;by a waterfall;;;;;;;;;;;;;
;;;;;;;at the Colosseum in Rome;;;;;;;;;;;;;
;;;;;;;in a training dojo;;;;;;;;;;;;;
;;;;;;;in a luxury yacht;;;;;;;;;;;;;
;;;;;;;at Hogwarts;;;;;;;;;;;;;
;;;;;;;near a dojo on a mountain;;;;;;;;;;;;;
;;;;;;;near a bunker;;;;;;;;;;;;;
;;;;;;;at her desk;;;;;;;;;;;;;
;;;;;;;at a nightclub on Mars;;;;;;;;;;;;;
;;;;;;;within a high-tech arena;;;;;;;;;;;;;
;;;;;;;on the floor of her room;;;;;;;;;;;;;
;;;;;;;waiting at a bus stop;;;;;;;;;;;;;
;;;;;;;in a cyberpunk nightclub;;;;;;;;;;;;;
;;;;;;;in Peach's Castle;;;;;;;;;;;;;
;;;;;;;inside a toxic swamp;;;;;;;;;;;;;
;;;;;;;in Liyue Harbor;;;;;;;;;;;;;
;;;;;;;inside the Death Star;;;;;;;;;;;;;
;;;;;;;in a rice paddy;;;;;;;;;;;;;
;;;;;;;inside a floating city;;;;;;;;;;;;;
;;;;;;;in a floating city;;;;;;;;;;;;;
;;;;;;;inside a space station observatory;;;;;;;;;;;;;
;;;;;;;outside a ghost town;;;;;;;;;;;;;
;;;;;;;inside a bunker;;;;;;;;;;;;;
;;;;;;;within a giant tree;;;;;;;;;;;;;
;;;;;;;in a wasteland;;;;;;;;;;;;;
;;;;;;;at a high-tech arena;;;;;;;;;;;;;
;;;;;;;within a space station observatory;;;;;;;;;;;;;
;;;;;;;at a dreamscape;;;;;;;;;;;;;
;;;;;;;outside a pirate ship;;;;;;;;;;;;;
;;;;;;;beneath a battlefield;;;;;;;;;;;;;
;;;;;;;on a pedestrian bridge;;;;;;;;;;;;;
;;;;;;;within a graveyard;;;;;;;;;;;;;
;;;;;;;beneath a ghost town;;;;;;;;;;;;;
;;;;;;;in the Room of Requirement;;;;;;;;;;;;;
;;;;;;;in front of Big Ben;;;;;;;;;;;;;
;;;;;;;in a pirate ship;;;;;;;;;;;;;
;;;;;;;near a graveyard;;;;;;;;;;;;;
;;;;;;;near a ghost town;;;;;;;;;;;;;
;;;;;;;inside a pirate ship;;;;;;;;;;;;;
;;;;;;;on a maze garden;;;;;;;;;;;;;
;;;;;;;near a toxic swamp;;;;;;;;;;;;;
;;;;;;;outside a dreamscape;;;;;;;;;;;;;
;;;;;;;inside a spaceship bridge;;;;;;;;;;;;;
;;;;;;;in a giant library;;;;;;;;;;;;;
;;;;;;;in Hyrule Field;;;;;;;;;;;;;
;;;;;;;in a futuristic control room;;;;;;;;;;;;;
;;;;;;;in a high-tech arena;;;;;;;;;;;;;
;;;;;;;near a misty valley;;;;;;;;;;;;;
;;;;;;;in a ruined castle;;;;;;;;;;;;;
;;;;;;;beneath a luxury yacht;;;;;;;;;;;;;
;;;;;;;near a floating city;;;;;;;;;;;;;
;;;;;;;at a space station observatory;;;;;;;;;;;;;
;;;;;;;outside a graveyard;;;;;;;;;;;;;
;;;;;;;in a bunker;;;;;;;;;;;;;
;;;;;;;in a giant tree;;;;;;;;;;;;;
;;;;;;;under a cherry blossom tree;;;;;;;;;;;;;
;;;;;;;at the Red Keep;;;;;;;;;;;;;
;;;;;;;inside a digital arena;;;;;;;;;;;;;
;;;;;;;beneath a misty valley;;;;;;;;;;;;;
;;;;;;;in Central Park;;;;;;;;;;;;;
;;;;;;;within a wasteland;;;;;;;;;;;;;
;;;;;;;in her shower;;;;;;;;;;;;;
;;;;;;;on a snowy mountain;;;;;;;;;;;;;
;;;;;;;at the edge of a cliff;;;;;;;;;;;;;
;;;;;;;at a fashion boutique;;;;;;;;;;;;;
;;;;;;;in front of her computer in her bedroom;;;;;;;;;;;;;
;;;;;;;near a nightclub on Mars;;;;;;;;;;;;;
;;;;;;;at a wasteland;;;;;;;;;;;;;
;;;;;;;on a pirate ship;;;;;;;;;;;;;
;;;;;;;outside a space station observatory;;;;;;;;;;;;;
;;;;;;;at a giant tree;;;;;;;;;;;;;
;;;;;;;inside a subway car;;;;;;;;;;;;;
;;;;;;;in a royal ballroom;;;;;;;;;;;;;
;;;;;;;in the Mushroom Kingdom;;;;;;;;;;;;;
;;;;;;;in a battlefield;;;;;;;;;;;;;
;;;;;;;at Mount Fuji;;;;;;;;;;;;;
;;;;;;;within a misty valley;;;;;;;;;;;;;
;;;;;;;in an elevator;;;;;;;;;;;;;
;;;;;;;in a public restroom;;;;;;;;;;;;;
;;;;;;;beneath a nightclub on Mars;;;;;;;;;;;;;
;;;;;;;on a gondola in Venice;;;;;;;;;;;;;
;;;;;;;within a ghost town;;;;;;;;;;;;;
;;;;;;;in the Hidden Leaf Village;;;;;;;;;;;;;
;;;;;;;outside a toxic swamp;;;;;;;;;;;;;
;;;;;;;in a graveyard;;;;;;;;;;;;;
;;;;;;;within a bunker;;;;;;;;;;;;;
;;;;;;;in a digital arena;;;;;;;;;;;;;
;;;;;;;on a battlefield;;;;;;;;;;;;;
;;;;;;;at U.A. High School;;;;;;;;;;;;;
;;;;;;;within a science lab;;;;;;;;;;;;;
;;;;;;;at the Sydney Opera House;;;;;;;;;;;;;
;;;;;;;in a lavender field;;;;;;;;;;;;;
;;;;;;;at the PokemonCenter;;;;;;;;;;;;;
;;;;;;;on a volcano rim;;;;;;;;;;;;;
;;;;;;;in a field at sunrise;;;;;;;;;;;;;
;;;;;;;beneath a high-tech arena;;;;;;;;;;;;;
;;;;;;;inside a nightclub on Mars;;;;;;;;;;;;;
;;;;;;;on the Golden Gate Bridge;;;;;;;;;;;;;
;;;;;;;outside a wasteland;;;;;;;;;;;;;
;;;;;;;within a dojo on a mountain;;;;;;;;;;;;;
;;;;;;;at a coffee shop;;;;;;;;;;;;;
;;;;;;;on a science lab;;;;;;;;;;;;;
;;;;;;;at Inazuma Shrine;;;;;;;;;;;;;
;;;;;;;at her makeup table;;;;;;;;;;;;;
;;;;;;;inside a graveyard;;;;;;;;;;;;;
;;;;;;;beneath a maze garden;;;;;;;;;;;;;
;;;;;;;inside a steampunk laboratory;;;;;;;;;;;;;
;;;;;;;near a crystal palace;;;;;;;;;;;;;
;;;;;;;in her bedroom;;;;;;;;;;;;;
;;;;;;;on a toxic swamp;;;;;;;;;;;;;
;;;;;;;on a digital arena;;;;;;;;;;;;;
;;;;;;;beneath a floating city;;;;;;;;;;;;;
;;;;;;;in Midgar slums;;;;;;;;;;;;;
;;;;;;;within a floating city;;;;;;;;;;;;;
;;;;;;;near a science lab;;;;;;;;;;;;;
;;;;;;;near a glowing cave;;;;;;;;;;;;;
;;;;;;;inside a ruined castle;;;;;;;;;;;;;
;;;;;;;on a space station observatory;;;;;;;;;;;;;
;;;;;;;inside a high-tech arena;;;;;;;;;;;;;
;;;;;;;at Mondstadt Square;;;;;;;;;;;;;
;;;;;;;on a giant tree;;;;;;;;;;;;;
;;;;;;;beneath a toxic swamp;;;;;;;;;;;;;
;;;;;;;beneath a graveyard;;;;;;;;;;;;;
;;;;;;;in her kitchen;;;;;;;;;;;;;
;;;;;;;inside a dreamscape;;;;;;;;;;;;;
;;;;;;;near a luxury yacht;;;;;;;;;;;;;
;;;;;;;outside a digital arena;;;;;;;;;;;;;
;;;;;;;outside a dojo on a mountain;;;;;;;;;;;;;
;;;;;;;at a digital arena;;;;;;;;;;;;;
;;;;;;;beneath a space station observatory;;;;;;;;;;;;;
;;;;;;;on Copacabana Beach;;;;;;;;;;;;;
;;;;;;;within a toxic swamp;;;;;;;;;;;;;
;;;;;;;beneath a crystal palace;;;;;;;;;;;;;
;;;;;;;inside a luxury yacht;;;;;;;;;;;;;
;;;;;;;outside a misty valley;;;;;;;;;;;;;
;;;;;;;beneath a wasteland;;;;;;;;;;;;;
;;;;;;;inside a medieval tavern;;;;;;;;;;;;;
;;;;;;;inside a wasteland;;;;;;;;;;;;;
;;;;;;;on a rooftop terrace;;;;;;;;;;;;;
;;;;;;;near a battlefield;;;;;;;;;;;;;
;;;;;;;on a crystal palace;;;;;;;;;;;;;
;;;;;;;in a sunflower field;;;;;;;;;;;;;
;;;;;;;within a maze garden;;;;;;;;;;;;;
;;;;;;;at a toxic swamp;;;;;;;;;;;;;
;;;;;;;on a bunker;;;;;;;;;;;;;
;;;;;;;in a VR chamber;;;;;;;;;;;;;
;;;;;;;within a ruined castle;;;;;;;;;;;;;
;;;;;;;in Diagon Alley;;;;;;;;;;;;;
;;;;;;;in an ancient temple;;;;;;;;;;;;;
;;;;;;;near a space station observatory;;;;;;;;;;;;;
;;;;;;;in a shopping mall;;;;;;;;;;;;;
;;;;;;;in her laundry room;;;;;;;;;;;;;
;;;;;;;inside a magic school;;;;;;;;;;;;;
;;;;;;;at a graveyard;;;;;;;;;;;;;
;;;;;;;on a dojo on a mountain;;;;;;;;;;;;;
;;;;;;;near a ruined castle;;;;;;;;;;;;;
;;;;;;;at a ghost town;;;;;;;;;;;;;
;;;;;;;outside a luxury yacht;;;;;;;;;;;;;
;;;;;;;on the Thousand Sunny;;;;;;;;;;;;;
;;;;;;;in Shibuya Crossing;;;;;;;;;;;;;
;;;;;;;on a luxury yacht;;;;;;;;;;;;;
;;;;;;;outside a science lab;;;;;;;;;;;;;
;;;;;;;outside a crystal palace;;;;;;;;;;;;;
;;;;;;;in a desert canyon;;;;;;;;;;;;;
;;;;;;;in a misty valley;;;;;;;;;;;;;
;;;;;;;in a dreamscape;;;;;;;;;;;;;
;;;;;;;feeding her cat in the kitchen;;;;;;;;;;;;;
;;;;;;;at a bunker;;;;;;;;;;;;;
;;;;;;;at Capsule Corp;;;;;;;;;;;;;
;;;;;;;within a luxury yacht;;;;;;;;;;;;;
;;;;;;;on a nightclub on Mars;;;;;;;;;;;;;
;;;;;;;in a bamboo grove;;;;;;;;;;;;;
;;;;;;;in a maze garden;;;;;;;;;;;;;
;;;;;;;at a maze garden;;;;;;;;;;;;;
;;;;;;;in Times Square;;;;;;;;;;;;;
;;;;;;;at a floating city;;;;;;;;;;;;;
